H C L Technologies Ltd.,1.45,0.96,1.23,2.77,2.23,1.83,0.6,1.01,1.31,3.82,4.27
H D F C Asset Mgmt. Co. Ltd.,,,,,,,0,0.76,0.97,1.54,2.22
H D F C Bank Ltd.,0.67,0.87,0.64,0.76,0.74,0.55,0.62,0.82,0,0.44,0.97
H D F C Life Insurance Co. Ltd.,,,,,,0.32,0,0.27,0,0.32,0.29
H E G Ltd.,2.45,4.09,2.68,2.21,0,0,4.61,4.66,2.67,0.2,3.86
H F C L Ltd.,0,0,0,0,0,0,0.26,0.59,0,0.19,0.26
H L E Glascoat Ltd.,5.3,6.78,2.01,2.31,1.37,0.99,1.16,0,0.34,0.06,0.16
Happiest Minds Technologies Ltd.,,,,,,,,,0,0.41,0.47
Harrisons Malayalam Ltd.,2.63,1.64,1.97,0,0,0,0,0,0,0,0
Hathway Cable & Datacom Ltd.,0,0,0,0,0,0,0,0,0,0,0
Hatsun Agro Product Ltd.,2.03,1.35,0.19,1.06,0.46,0.5,0.76,0.95,1.08,0.59,0.67
Havells India Ltd.,0.99,0.97,1.16,1.01,1.43,0.67,0.56,0.75,0.67,0.55,0.63
Heidelberg Cement India Ltd.,0,0,0,0,0,1.28,2.38,2.25,2.72,3.55,5.14
Hercules Hoists Ltd.,1.35,1.67,0.73,0.95,0.93,0.71,1.17,1.58,1.51,1.01,1.32
Hero Motocorp Ltd.,2.47,3.04,3.31,1.17,2.26,2.3,3.64,3.48,2.76,3.86,3.44
Hester Biosciences Ltd.,0.54,2.22,0.58,0.65,0.94,0.4,0.81,0.44,0.39,0.4,0.54
Hi-Tech Pipes Ltd.,,,,,,,,,,0,0.05
Hikal Ltd.,1.32,0.46,0.58,0.65,0.43,0.55,0.63,0.97,0.7,0.48,0.45
Hindalco Industries Ltd.,1.34,1.28,0.72,1.42,0.53,0.43,0.58,0.63,0.44,0.61,0.85
Hindustan Aeronautics Ltd.,,,,,,,0,2.47,5.2,2.01,2.19
Hindustan Copper Ltd.,0.77,1.62,1.44,0.3,0,0.24,0.54,1.22,0,0.28,0.94
Hindustan Petroleum Corpn. Ltd.,2.58,3.48,2.36,3,2.2,5.04,7.27,6.84,4.46,7.25,5.88
Hindustan Unilever Ltd.,3.49,2.02,1.45,1.9,1.93,1.31,1.19,1.18,1.66,1.41,1.4
Hindustan Zinc Ltd.,1.94,2.39,2.17,3.92,8.68,9.51,9.98,0,13.78,5.71,14.88
Hitachi Energy India Ltd.,,,,,,,,,0,0.06,0.1
Home First Finance Co. India Ltd.,,,,,,,,,,0,0
Honeywell Automation India Ltd.,0.39,0.39,0.14,0.15,0.11,0.06,0.15,0.16,0.19,0.2,0.23
